0 :: Vương quốc Anh: 8.2,6: 0
25 :: Guadeloupe (Pháp): 18,32,30: 25
26 :: Martinique (Pháp): 23,32,18: 26
27 :: Montserrat (Vương quốc Anh): 30,22,26: 27
28 :: Puerto Rico (Hoa Kỳ): 23,27,22: 28
29 :: Saint Kitts và Nevis: 32,24,27: 29
30 :: Saint Martin (Pháp): 32,29,22: 30
31 :: Saint Vincent và Grenadines: 30,27,28: 31
32 :: Sint Maarten (Hà Lan): 31,29,25: 32
---------------------
0 :: Trung Quốc: 5,8,4: 0
1 :: Ấn Độ: 9,4,2: 1
2 :: Nga: 7,4,6: 2
3 :: Thổ Nhĩ Kỳ: 4.2,8: 3
4 :: Nhật Bản: 7,2,6: 4
5 :: Thái Lan: 3,11,2: 5
6 :: Afghanistan: 3,12,10: 6
7 :: Hàn Quốc: 1,4,12: 7
8 :: Việt Nam: 15,5,11: 8
9 :: Malaysia: 12,7,14: 9
10 :: Philippines: 9,5,17: 10
11 :: Cộng hòa Síp: 3,8,9: 11
12 :: Nepal: 5,13,11: 12
13 :: Bắc Triều Tiên: 8,12,6: 13
14 :: Georgia: 11,12,21: 14
15 :: Các tiểu vương quốc Ả Rập thống nhất: 18,9,21: 15
16 :: Indonesia: 18,9,23: 16
17 :: Israel: 24,12,23: 17
18 :: Úc: 13,16,21: 18
----------------------
19 :: Ả Rập Saudi: 11,23,14: 19
20 :: Mông Cổ: 18,19,14: 20
21 :: Iran: 29,28,24: 21
22 :: Irac: 18,16,30: 22
23 :: Kazakhstan: 24,27,19: 23
24 :: Myanmar: 25,23,20: 24
25 :: Qatar: 29,22,26: 25
26 :: Bangladesh: 19,27,30: 26
27 :: Armenia: 20,29,34: 27
28 :: Jordan: 30,31,36: 28
29 :: Sri Lanka: 26,30,24: 29
30 :: Singapore: 32,24,23: 30
31 :: Ailen: 34,38,36: 31
32 :: Đài Loan: 35,40,24: 32
33 :: Campuchia: 30,29,38: 33
34 :: Cô-oét: 29,37,40: 34
35 :: Turkmenistan: 39,37,41: 35
36 :: Papua New Guinea: 43,40,28: 36
37 :: New Zealand: 45,40,44: 37
-----------------------
38 :: Kít-sinh-gơ: 45,40,30: 38
39 :: Bahrain: 31,37,35: 39
40 :: Uzbekistan: 48,41,44: 40
41 :: Maldives: 44,39,40: 41
42 :: Lào: 44,40,49: 42
43 :: Ô-man: 48,45,49: 43
44 :: Tajikistan: 52,49,39: 44
45 :: Pakistan: 48,37,43: 45
46 :: Palestine: 54,48,49: 46
47 :: Lebanon: 42,48,54: 47
48 :: Brunei: 52,56,50: 48
49 :: Bhutan: 51,53,46: 49
50 :: Syria: 51,46,52: 50
51 :: Yemen: 58,43,56: 51
52 :: Đông Timor: 59,49,51: 52
53 :: Fiji: 51,45,58: 53
54 :: Quần đảo Solomon: 47,56,51: 54
55 :: Vanuatu: 52,54,58: 55
56 :: Samoa: 55,50,53: 56
57 :: Kiribati: 52,60,50: 57
58 :: Micronesia: 54,56,60: 58
59 :: Tonga: 60,52,61: 59
60 :: Quần đảo Marshall: 62,61,52: 60
61 :: Palau: 56,62,58: 61
62 :: Tuvalu: 59,56,63: 62
63 :: Nauru: 62,61,56: 63
---------------------
0 :: Brazil: 8,7,3: 0
1 :: Argentina: 5,0,9: 1
2 :: Chile: 0,8,7: 2
3 :: Colombia: 0,7,6: 3
4 :: Uruguay: 3,2,6: 4
5 :: Ecuador: 13,7,3: 5
----------
6 :: Peru: 8,9,2: 6
7 :: Paraguay: 4,10,6: 7
8 :: Bôlivia: 14,4,7: 8
9 :: Venezuela: 4,12,3: 9
10 :: Guyana: 9,13,6: 10
-------------
11 :: Suriname: 13,8,10: 11
12 :: Guiana thuộc Pháp (Pháp): 14,13,6: 12
13 :: Quần đảo Falkland (Vương quốc Anh): 6,7,12: 13
14 :: Nam Georgia và Quần đảo Nam Sandwich (Vương quốc Anh): 6,7,12: 14
15 :: Đảo Bouvet (Na Uy): 13,14,9: 15
